Category: All categories

Day,インフルエンザ: (Tokyo)
2019-03-01,85
2019-03-02,81
2019-03-03,100
2019-03-04,97
2019-03-05,73
2019-03-06,80
2019-03-07,71
2019-03-08,56
2019-03-09,55
2019-03-10,63
2019-03-11,85
2019-03-12,72
2019-03-13,57
2019-03-14,54
2019-03-15,52
2019-03-16,34
2019-03-17,42
2019-03-18,48
2019-03-19,53
2019-03-20,38
2019-03-21,40
2019-03-22,43
2019-03-23,37
2019-03-24,45
2019-03-25,43
2019-03-26,24
2019-03-27,37
2019-03-28,37
2019-03-29,26
2019-03-30,21
2019-03-31,27
2019-04-01,31
