Category: All categories

Day,インフルエンザ: (Tokyo)
2016-06-01,88
2016-06-02,75
2016-06-03,47
2016-06-04,55
2016-06-05,64
2016-06-06,62
2016-06-07,33
2016-06-08,67
2016-06-09,58
2016-06-10,90
2016-06-11,66
2016-06-12,54
2016-06-13,72
2016-06-14,66
2016-06-15,62
2016-06-16,90
2016-06-17,77
2016-06-18,35
2016-06-19,45
2016-06-20,41
2016-06-21,70
2016-06-22,50
2016-06-23,46
2016-06-24,33
2016-06-25,50
2016-06-26,60
2016-06-27,68
2016-06-28,100
2016-06-29,84
2016-06-30,29
2016-07-01,31
