Category: All categories

Day,インフルエンザ: (Tokyo)
2016-12-01,100
2016-12-02,85
2016-12-03,73
2016-12-04,57
2016-12-05,87
2016-12-06,83
2016-12-07,87
2016-12-08,80
2016-12-09,78
2016-12-10,48
2016-12-11,58
2016-12-12,91
2016-12-13,84
2016-12-14,74
2016-12-15,75
2016-12-16,72
2016-12-17,65
2016-12-18,63
2016-12-19,98
2016-12-20,94
2016-12-21,95
2016-12-22,84
2016-12-23,61
2016-12-24,70
2016-12-25,75
2016-12-26,98
2016-12-27,99
2016-12-28,89
2016-12-29,73
2016-12-30,66
2016-12-31,52
2017-01-01,60
