Category: All categories

Day,インフルエンザ: (Tokyo)
2019-02-01,93
2019-02-02,91
2019-02-03,87
2019-02-04,100
2019-02-05,76
2019-02-06,64
2019-02-07,63
2019-02-08,54
2019-02-09,42
2019-02-10,40
2019-02-11,49
2019-02-12,52
2019-02-13,39
2019-02-14,42
2019-02-15,35
2019-02-16,32
2019-02-17,32
2019-02-18,36
2019-02-19,30
2019-02-20,26
2019-02-21,22
2019-02-22,23
2019-02-23,18
2019-02-24,18
2019-02-25,18
2019-02-26,18
2019-02-27,17
2019-02-28,18
2019-03-01,14
