Category: All categories

Day,インフルエンザ: (Tokyo)
2014-02-01,74
2014-02-02,76
2014-02-03,100
2014-02-04,82
2014-02-05,76
2014-02-06,71
2014-02-07,67
2014-02-08,45
2014-02-09,54
2014-02-10,66
2014-02-11,62
2014-02-12,68
2014-02-13,66
2014-02-14,42
2014-02-15,38
2014-02-16,51
2014-02-17,60
2014-02-18,51
2014-02-19,54
2014-02-20,47
2014-02-21,50
2014-02-22,44
2014-02-23,49
2014-02-24,64
2014-02-25,52
2014-02-26,49
2014-02-27,48
2014-02-28,48
2014-03-01,45
