Category: All categories

Day,インフルエンザ: (Tokyo)
2018-11-01,91
2018-11-02,82
2018-11-03,58
2018-11-04,55
2018-11-05,91
2018-11-06,85
2018-11-07,86
2018-11-08,88
2018-11-09,76
2018-11-10,72
2018-11-11,46
2018-11-12,81
2018-11-13,98
2018-11-14,85
2018-11-15,85
2018-11-16,100
2018-11-17,57
2018-11-18,59
2018-11-19,99
2018-11-20,97
2018-11-21,91
2018-11-22,74
2018-11-23,51
2018-11-24,71
2018-11-25,54
2018-11-26,87
2018-11-27,91
2018-11-28,80
2018-11-29,85
2018-11-30,79
2018-12-01,53
