Category: All categories

Day,インフルエンザ: (Tokyo)
2015-06-01,86
2015-06-02,94
2015-06-03,66
2015-06-04,59
2015-06-05,74
2015-06-06,38
2015-06-07,55
2015-06-08,100
2015-06-09,54
2015-06-10,59
2015-06-11,73
2015-06-12,71
2015-06-13,55
2015-06-14,59
2015-06-15,85
2015-06-16,88
2015-06-17,54
2015-06-18,92
2015-06-19,43
2015-06-20,63
2015-06-21,29
2015-06-22,73
2015-06-23,50
2015-06-24,54
2015-06-25,39
2015-06-26,58
2015-06-27,21
2015-06-28,28
2015-06-29,82
2015-06-30,39
2015-07-01,63
